Nafn skóla,Heimilisfang,Sveitarfélag,Netfang skóla,Sveitarfélag / skólaskrifstofa,Heimasíða skóla,,,,,
Árskógarskóli,Árskógsströnd,Dalvíkurbyggð,arskogarskoli@dalvikurbyggd.is,Fræðslu- og menningarsvið Dalvíkurbyggðar,https://www.dalvikurbyggd.is/arskogarskoli,,,,,
Dalvíkurskóli,v/Mímisveg,Dalvíkurbyggð,ritari@dalvikurbyggd.is,Fræðslu- og menningarsvið Dalvíkurbyggðar,https://www.dalvikurbyggd.is/dalvikurskoli,,,,,
Borgarhólsskóli,Skólagarður 1,Norðurþing,skoli@borgarholsskoli.is,Fræðslu- og menningarsvið Norðurþings,http://www.borgarholsskoli.is/,,,,,
Grunnskóli Raufarhafnar,v/Skólabraut ,Norðurþing,gunnur@raufarhafnarskoli.is,Fræðslu- og menningarsvið Norðurþings,http://grunnskoli.raufarhofn.is/,,,,,
Öxarfjarðarskóli,Lundi,Norðurþing,hrund@oxarfjardarskoli.is,Fræðslu- og menningarsvið Norðurþings,http://oxarfjardarskoli.nordurthing.is/,,,,,
Grunnskólinn í Hveragerði,Skólamörk 6,Hveragerðisbær,grunnskoli@hveragerdi.is,Fjölskyldu og velferðarþjónusta Árnesþings,http://grunnskoli.hveragerdi.is/,,,,,
Gerðaskóli,Garðbraut 90,Sveitarfélagið Garður,gerdaskoli@gerdaskoli.is,Fræðsluþjónusta Suðurnesjabæjar ,www.gerdaskoli.is,,,,,
Grunnskólinn í Sandgerði,Skólastræti,Sandgerðisbær,grunnskoli@sandgerdisskoli.is,Fræðsluþjónusta Suðurnesjabæjar ,www.sandgerdisskoli.is,,,,,
Stóru-Vogaskóli,Tjarnargötu 2,Sveitarfélagið Vogar,skoli@vogar.is,Fræðsluþjónusta Suðurnesjabæjar ,www.storuvogaskoli.is,,,,,
Álftanesskóli,v/Breiðumýri,Garðabær,alftanesskoli@alftanesskoli.is,Garðabær,www.alftanesskoli.is,,,,,
Flataskóli,v/Vífilsstaðaveg,Garðabær,flataskoli@flataskoli.is,Garðabær,www.flataskoli.is,,,,,
Garðaskóli,v/Vífilsstaðaveg,Garðabær,gardaskoli@gardaskoli.is,Garðabær,www.gardaskoli.is,,,,,
Hofstaðaskóli,v/Skólabraut,Garðabær,hskoli@hofsstadaskoli.is,Garðabær,www.hofstadaskoli.is,,,,,
Sjálandsskóli,Löngulínu 8,Garðabær, sjalandsskoli@sjalandsskoli.is  ,Garðabær,www.sjalandsskoli.is,,,,,
Urriðaholtsskóli,v/Vinastræti,Garðabær,urridaholtsskoli@urridaholtsskoli.is,Garðabær,www.urridaholtsskoli.is,,,,,
Kerhólsskól,Borg,Grímsnes- og Grafningsher.,kerholsskoli@kerholsskoli.is,Fjölskyldu og velferðarþjónusta Árnesþings,https://www.kerholsskoli.is/,,,,,
Áslandsskóli,Kríuási 1,Hafnarfjarðarkaupstaður,aslandsskoli@aslandsskoli.is,Hafnarfjarðarkaupstaður,www.aslandsskoli.is,,,,,
Engidalsskóli,Breiðvangur 42,Hafnarfjarðarkaupstaður,engidalsskoli@engidalsskoli.is,Hafnarfjarðarkaupstaður,,,,,,
Hraunvallaskóli,Drekavellir 9,Hafnarfjarðarkaupstaður,hraunvallaskoli@hraunvallaskoli.is,Hafnarfjarðarkaupstaður,www.hraunvallaskoli.is,,,,,
Hvaleyrarskóli,Akurholti 1,Hafnarfjarðarkaupstaður,hvaleyrarskoli@hvaleyrarskoli.is,Hafnarfjarðarkaupstaður,www.hvaleyrarskoli.is,,,,,
Öldutúnsskóli,Öldutúni,Hafnarfjarðarkaupstaður,oldutunsskoli@oldutunsskoli.is,Hafnarfjarðarkaupstaður,www.oldutunsskoli.is,,,,,
Setbergsskóli,Hlíðarberg 2,Hafnarfjarðarkaupstaður,setbergsskoli@setbergsskoli.is,Hafnarfjarðarkaupstaður,www.setbergsskoli.is,,,,,
Skarðshlíðarskóli,Hádegisskarði 1,Hafnarfjarðarkaupstaður,skardshlidarskoli@skardshlidarskoli.is,Hafnarfjarðarkaupstaður,www.skardshlidarskoli.is,,,,,
Lækjarskóli,Sólvangsvegi 4,Hafnarfjarðarkaupstaður,skoli@laekjarskoli.is,Hafnarfjarðarkaupstaður,www.laekjarskoli.is,,,,,
Víðistaðaskóli,Hrauntungu 7,Hafnarfjarðarkaupstaður,vidistadaskoli@vidistadaskoli.is,Hafnarfjarðarkaupstaður,www.vidistadaskoli.is,,,,,
"Grunnskóli Önundarfjarðar,Flateyri",Tjarnargötu,Ísafjarðarbær,jonasv@isafjordur.is ,Ísafjörður,http://gron.isafjordur.is,,,,,
Grunnskólinn á Ísafirði,v/Austurveg,Ísafjarðarbær,grisa@isafjordur.is,Ísafjörður,http://grisa.isafjordur.is,,,,,
Grunnskólinn á Suðureyri,Túngötu 8,Ísafjarðarbær,grsud@isafjordur.is,Ísafjörður,http://grsud.isafjordur.is,,,,,
Grunnskólinn Þingeyri,Fjarðargötu 24,Ísafjarðarbær,grthing@isafjordur.is,Ísafjörður,http://grthing.isafjordur.is,,,,,
Álfhólsskóli,Állfhólsvegi 100 og 120,Kópavogsbær,alfholsskoli@kopavogur.is,Kópavogsbær,http://alfholsskoli.is,,,,,
Hörðuvallaskóli,Baugakór 38 / Vallakór 12,Kópavogsbær,ritari.horduvallaskola@kopavogur.is,Kópavogsbær,www.horduvallaskoli.is,,,,,
Kársnesskóli,Skólagerði 5 og Vallargerði,Kópavogsbær,karsnesskoli@kopavogur.is,Kópavogsbær,www.karsnesskoli.is,,,,,
Kópavogsskóli,v/Digranesveg,Kópavogsbær,kopavogsskoli@kopavogur.is,Kópavogsbær,www.kopavogsskoli.is,,,,,
Kóraskóli,v/VallaKór,Kópavogsbær,koraskoli@kopavogur.is,Kópavogsbær,https://koraskoli.is/,,,,,
Lindaskóli,Núpalind 7,Kópavogsbær,lindaskoli@kopavogur.is,Kópavogsbær,http://lindaskoli.is,,,,,
Salaskóli,v/Versali,Kópavogsbær,salaskoli@kopavogur.is,Kópavogsbær,http://salaskoli.is,,,,,
Smáraskóli,v/Dalsmára,Kópavogsbær,smaraskoli@kopavogur.is,Kópavogsbær,www.smaraskoli.is,,,,,
Snælandsskóli,v/Víðigrund,Kópavogsbær,snaelandsskoli@kopavogur.is,Kópavogsbær,www.snaelandsskoli.is,,,,,
Vatnsendaskóli,v/Funahvarf,Kópavogsbær,vatnsendaskoli@kopavogur.is,Kópavogsbær,www.vatnsendaskoli.is,,,,,
Helgafellsskóli,GERPLUSTRÆTI 14,Mosfellsbær,helgafellsskoli@mosmennt.is,Mosfellsbær,http://www.helgafellsskoli.is/,,,,,
Krikaskóli,Sunnukrika 1,Mosfellsbær,Krikaskoli@mosmennt.is,Mosfellsbær,www.krikaskoli.is,,,,,
Kvíslarskóli ,Skólabraut 6-10,Mosfellsbær,kvislarskoli@mosmennt.is,Mosfellsbær,http://www.kvislarskoli.is/,,,,,
Lágafellsskóli,v/Lækjarhlíð,Mosfellsbær,lagafellsskoli@lagafellsskoli.is,Mosfellsbær,www.lagafellsskoli.is,,,,,
Varmárskóli,v/Skólabraut,Mosfellsbær,varmarskoli@varmarskoli.is,Mosfellsbær,www.varmarskoli.is,,,,,
Brúarásskóli,Múlaþing (Brúarás),Fljótsdalshérað,bruarasskoli@fljotsdalsherad.is,Fjölskyldu og frístundasvið Fljótsdalshéraðs,www.bruaras.is,,,,,
Egilsstaðaskóli,Tjarnarlönd 11,Múlaþing (Fljótsdalshérað),egilsstadaskoli@egilsstadir.is,Fjölskyldu og frístundasvið Fljótsdalshéraðs,www.egilsstadaskoli.is,,,,,
"Fellaskóli, Fellabæ",Einhleypingi,Fljótsdalshérað,fellaskoli@fell.is,Fjölskyldu og frístundasvið Fljótsdalshéraðs,www.fell.is,,,,,
Grunnskóli Borgarfjarðar eystri,,Múlaþing (Borgarfjarðarhreppur),anna.einarsdottir@mulathing.is,Skólaskrifstofa Austurlands,https://www.borgarfjordureystri.is/grunnskolinn,,,,,
Seyðisfjarðarskóli,Suðurgötu 4,Seyðisfjarðarkaupstaður,seydisfjardarskoli@skolar.sfk.is,Skólaskrifstofa Austurlands,https://seydisfjardarskoli.sfk.is/,,,,,
Djúpavogsskóli,Vörðu 6,Múlaþing (Djúpavogshreppur),skolastjori@djupivogur.is,,www.djupivogur.is/grunnskoli.is,,,,,
Akurskóli,Tjarnarbraut 5,Reykjanesbær,akurskoli@akurskoli.is,Reykjanesbær,www.akurskoli.is,,,,,
Háaleitisskóli,Lindarbraut 624 - Vallarheiði,Reykjanesbær,haaleitisskoli@haaleitisskoli.is,Reykjanesbær,http://haaleitisskoli.reykjanesbaer.is,,,,,
Heiðarskóli,Heiðarhvammi,Reykjanesbær,heidarskoli@heidarskoli.is,Reykjanesbær,www.heidarskoli.is,,,,,
Holtaskóli,v/Sunnubraut,Reykjanesbær,holtaskoli@holtaskoli.is,Reykjanesbær,www.holtaskoli.is,,,,,
Myllubakkaskóli,Sólvallagötu 6a,Reykjanesbær,mylla@myllubakkaskoli.is,Reykjanesbær,www.myllubakkaskoli.is,,,,,
Njarðvíkurskóli,v/Brekkustíg,Reykjanesbær,njardvikurskoli@njardvikurskoli.is,Reykjanesbær,www.njardvikurskoli.is,,,,,
Stapaskóli,Dalsbraut 11,Reykjanesbær,stapaskoli@stapaskoli.is,Reykjanesbær,www.stapaskoli.is,,,,,
Álftamýrarskóli,Álftamýri 79,Reykjavíkurborg,alftamyrarskoli@reykjavik.is,Reykjavíkurborg,http://alftamyrarskoli.is,,,,,
Árbæjarskóli,Rofabæ 34,Reykjavíkurborg,arbaejarskoli@reykjavik.is,Reykjavíkurborg,www.arbaejarskoli.is,,,,,
Ártúnsskóli,Árkvörn 6,Reykjavíkurborg,artunsskoli@reykjavik.is,Reykjavíkurborg,www.artunsskoli.is,,,,,
Austurbæjarskóli,Barónsstígur 32,Reykjavíkurborg,austurbaejarskoli@reykjavik.is,Reykjavíkurborg,www.austurbaejarskoli.is,,,,,
Borgaskóli,Vættaborgum 9,Reykjavíkurborg,borgaskoli@reykjavik.is,Reykjavíkurborg,www.borgaskoli.is,,,,,
Breiðagerðisskóli,v/Breiðagerði,Reykjavíkurborg,breidagerdisskoli@reykjavik.is,9,www.breidagerdisskoli.is,,,,,
Breiðholtsskóli,Arnarbakka 1-3,Reykjavíkurborg,breidholtsskoli@reykjavik.is,Reykjavíkurborg,www.breidholtsskoli.is,,,,,
Brúarskóli,Vesturhlíð 3,Reykjavíkurborg,bruarskoli@reykjavik.is,Reykjavíkurborg,www.bruarskoli.is,,,,,
Dalskóli,Úlfarsbraut 118-120,Reykjavíkurborg,dalskoli@reykjavik.is,Reykjavíkurborg,www.dalskoli.is,,,,,
Engjaskóli,Vallengi 14,Reykjavíkurborg,engjaskoli@reykjavik.is,Reykjavíkurborg,www.engjaskoli.is,,,,,
Fellaskóli,Norðurfelli 17-19,Reykjavíkurborg,fellaskoli@reykjavik.is,Reykjavíkurborg,www.fellaskoli.is,,,,,
Foldaskóli,Logafold 1,Reykjavíkurborg,foldaskoli@reykjavik.is,Reykjavíkurborg,www.foldaskoli.is,,,,,
Fossvogsskóli,Haðalandi 26,Reykjavíkurborg,fossvogsskoli@reykjavik.is,Reykjavíkurborg,www.fossvogsskoli.is,,,,,
Grandaskóli,Keilugrandi 12,Reykjavíkurborg,grandaskoli@reykjavik.is,Reykjavíkurborg,www.grandaskoli.is,,,,,
Hagaskóli,Fornhaga 1,Reykjavíkurborg,hagaskoli@reykjavik.is,Reykjavíkurborg,www.hagaskoli.is,,,,,
Hamraskóli,Dyrhömrum 9,Reykjavíkurborg,hamraskoli@reykjavik.is,Reykjavíkurborg,www.hamraskoli.is,,,,,
Háteigsskóli,Bólstaðarhlíð 47,Reykjavíkurborg,hateigsskoli@reykjavik.is,Reykjavíkurborg,www.hateigsskoli.is,,,,,
Hlíðaskóli,Hamrahlíð 2,Reykjavíkurborg,hlidaskoli@reykjavik.is,Reykjavíkurborg,www.hlidaskoli.is,,,,,
Hólabrekkuskóli,Suðurhólum 10,Reykjavíkurborg,holabrekkuskoli@reykjavik.is,Reykjavíkurborg,www.holabrekkuskoli.is,,,,,
Húsaskóli,Dalhúsum 41,Reykjavíkurborg,husaskoli@reykjavik.is,Reykjavíkurborg,www.husaskoli.is,,,,,
Hvassaleitisskóli,v/Stóragerði,Reykjavíkurborg,hvassaleitisskoli@reykjavik.is,Reykjavíkurborg,http://haaleitisskoli.grunnskolar.is,,,,,
Ingunnarskóli,Maríubaugi 1,Reykjavíkurborg,ingunnarskoli@reykjavik.is,Reykjavíkurborg,www.ingunnarskoli.is,,,,,
Klébergsskóli,Kléberg,Reykjavíkurborg,klebergsskoli@reykjavik.is,Reykjavíkurborg,www.klebergsskoli.is,,,,,
Langholtsskóli,Holtavegi 23,Reykjavíkurborg,langholtsskoli@reykjavik.is,Reykjavíkurborg,www.langholtsskoli.is,,,,,
Laugalækjarskóli,Leirulækur 2,Reykjavíkurborg,laugalaekjarskoli@reykjavik.is,Reykjavíkurborg,www.laugalaekjarskoli.is,,,,,
Laugarnesskóli,Kirkjuteigi 24,Reykjavíkurborg,laugarnesskoli@reykjavik.is,Reykjavíkurborg,www.laugarnesskoli.is,,,,,
Melaskóli,Hagamel 1,Reykjavíkurborg,melaskoli@reykjavik.is,Reykjavíkurborg,www.melaskoli.is,,,,,
Norðlingaskóli,Árvaði 3,Reykjavíkurborg,nordlingaskoli@reykjavik.is,Reykjavíkurborg,www.nordlingaskoli.is,,,,,
Ölduselsskóli,Ölduseli 17,Reykjavíkurborg,olduselsskoli@reykjavik.is,Reykjavíkurborg,www.olduselsskoli.is,,,,,
Réttarholtsskóli,v/Réttarholtsveg,Reykjavíkurborg,rettarholtsskoli@reykjavik.is,Reykjavíkurborg,www.rettarholtsskoli.is,,,,,
Rimaskóli,Rósarima 11,Reykjavíkurborg,rimaskoli@reykjavik.is,Reykjavíkurborg,www.rimaskoli.is,,,,,
Sæmundarskóli,Gvendargeisla 168,Reykjavíkurborg,saemundarskoli@reykjavik.is,Reykjavíkurborg,www.saemundarskoli.is,,,,,
Selásskóli,Selásbraut 109,Reykjavíkurborg,selasskoli@reykjavik.is,Reykjavíkurborg,www.selasskoli.is,,,,,
Seljaskóli,Kleifarseli 28,Reykjavíkurborg,seljaskoli@reykjavik.is,Reykjavíkurborg,www.seljaskoli.is,,,,,
Víkurskóli,v/Hamravík,Reykjavíkurborg,vikurskoli@reykjavik.is,Reykjavíkurborg,http://vikurskolinn.is,,,,,
Vesturbæjarskóli,Sólvallagötu 67,Reykjavíkurborg,vesturbaejarskoli@reykjavik.is,Reykjavíkurborg,www.vesturbaejarskoli.is,,,,,
Vogaskóli,v/Ferjuvog,Reykjavíkurborg,vogaskoli@reykjavik.is,Reykjavíkurborg,www.vogaskoli.is,,,,,
Mýrarhúsaskóli,V. Nesveg,Seltjarnarneskaupstaður,myrarhusaskoli@seltjarnarnes.is,Seltjarnarneskaupstaður,,,,,,
Valhúsaskóli,v/Skólabraut,Seltjarnarneskaupstaður,valhusaskoli@seltjarnarnes.is,Seltjarnarneskaupstaður,www.grunnskoli.is,,,,,
Grunnskólinn á Þórshöfn,Langanesvegi 20,Langanesbyggð,,Fræðslu- og menningarsvið Norðurþings,http://thorshofn.wordpress.com/,,,,,
Leik- og grunnskóli Hvalfjarðarsveitar,Leirársveit,Hvalfjarðarsveit,heidarskoli@hvalfjardarsveit.is,,http://skoli.hvalfjardarsveit.is,,,,,
Grunnskólinn í Bolungarvík,Höfðastíg 3-5,Bolungarvík,bolungur@bolungarvik.is,Bolungarvík,https://gs.bolungarvik.is,,,,,
Auðarskóli,Miðbraut 10,Dalabyggð,ritari@audarskoli.is   ,Dalabyggð,www.audarskoli.is,,,,,
Reykhólaskóli,Skólabraut 1,Reykhólahreppur,skolastjori@reykholar.is,Reykhólahreppur,www.reykholar.is/skoli,,,,,
Grenivíkurskóli,,Grýtubakkahreppur,grenivikurskoli@grenivikurskoli.is,,www.grenivikurskoli.is,,,,,
Grunnskólinn á Hólmavík,Skólabraut 20,Strandabyggð,grunnskoli@strandabyggd.is,,www.strandabyggd.is/grunnskolinn,,,,,
Hrafnagilsskóli,Skólatröð 1,Eyjafjarðarsveit,hrafnagilsskoli@krummi.is,,www.krummi.is,,,,,
Tálknafjarðarskóli,Sveinseyri,Tálknafjarðarhreppur,talknafjardarskoli@talknafjardarskoli.is,,http://talknafj.hjalli.is,,,,,
Þelamerkurskóli,Laugalandi á Þelamörk,Hörgársveit,thelamork@thelamork.is,,www.thelamork.is,,,,,
Valsárskóli,Svalbarðsströnd,Svalbarðsstrandarhreppur,maria@svalbardsstrond.is,,https://www.svalbardsstrond.is/alfaborg-valsarskoli,,,,,
Vopnafjarðarskóli,Lónabraut 12,Vopnafjarðarhreppur,vopnaskoli@vopnaskoli.is,Skólaskrifstofa Austurlands,www.vopnaskoli.is,,,,,
Kirkjubæjarskóli,Klausturvegi 4,Skaftárhreppur,skoli@klaustur.is,Skólaþjónusta Rangárvalla- og vestur Skaf,www.kbs.is,,,,,
Víkurskóli,Mánabraut 5-7,Mýrdalshreppur,vikurskoli@vikurskoli.is,Skólaþjónusta Rangárvalla- og vestur Skaf,http://vikurskoli.vik.is,,,,,
Grunnskólinn á Hellu,Útskálum 6,Rangárþing ytra,grhella@grhella.is,Skólaþjónusta Rangárvalla- og vestur Skaf,http://grhella.is,,,,,
Laugalandsskóli,Laugaland ,Rangárþing ytra,laugholt@laugaland.is,Skólaþjónusta Rangárvalla- og vestur Skaf,https://laugalandsskoli.is,,,,,
Hvolsskóli,Vallarbraut 16,Rangárþing eystra,skolastjori@hvolsskoli.is,Skólaþjónusta Rangárvalla- og vestur Skaf,www.hvolsskoli.is,,,,,
Barnaskólinn á Eyrarbakka og Stokkseyri,Háeyrarvöllum 56,Sveitarfélagið Árborg,barnaskolinn@barnaskolinn.is,Sveitarfélagið Árborg,www.barnaskolinn.is,,,,,
Stekkjaskóli,Heiðarstekk 10,Sveitarfélagið Árborg,hilmarb@stekkjaskoli.is,Sveitarfélagið Árborg,www.stekkjaskoli.is,,,,,
Sunnulækjarskóli,Norðurhólum 1,Sveitarfélagið Árborg,sunnulaekjarskoli@sunnulaek.is,Sveitarfélagið Árborg,www.sunnulaekjarskoli.is,,,,,
Vallaskóli,Sólvöllum 2,Sveitarfélagið Árborg,vallaskoli@vallaskoli.is,Sveitarfélagið Árborg,www.vallaskoli.is,,,,,
Reykjahlíðarskóli,,Skútustaðahreppur,reykjahlidarskoli@reykjahlidarskoli.is,Fræðslu- og menningarsvið Norðurþings,http://skutustadahreppur.is/v/19471,,,,,
Þingeyjarskóli,Laugar,Þingeyjarsveit,lilja@thingskoli.is,Fræðslu- og menningarsvið Norðurþings,www.thingeyjarskoli.is,,,,,
Stórutjarnaskóli,Ljósavatnsskarði,Þingeyjarsveit,birnada@storutjarnaskoli.is,,www.storutjarnaskoli.is,,,,,
Bíldudalsskóli,Dalbraut 2,Vesturbyggð,liljarut@vesturbyggd.is,Vesturbyggð,www.bildudalsskoli.is,,,,,
Patreksskóli,Aðalstræti 53,Vesturbyggð,joninas@vesturbyggd.is,Vesturbyggð,www.patreksskoli.is,,,,,
Klettaskóli,Suðurhlíð 9,Reykjavíkurborg,klettaskoli@reykjavik.is,Reykjavíkurborg,www.klettaskoli.is,Sérskóli rekinn af Reykjavíkurborg,,,,
Grunnskóli Drangsnes,Aðalbraut 10,Kaldrananeshreppur,skoli@drangsnes.is,,http://drangsnes.is/skoli,,,,,
Súðavíkurskóli,,Súðavík,annalind@sudavikurskoli.is  ,Súðavík,,,,,,
,,,skrifstofa@brak.is,,,,,,,
,,,skrifstofa@grundaskoli.is,,,,,,,
Suðurhlíðaskóli,Suðurhlíð 36,Reykjavíkurborg,brekkuskoli@akmennt.is,Reykjavíkurborg,www.sudurhlidarskoli.is,Einkarekinn grunnskóli með þjónustusamning,,,,
Landakotsskóli,v/Túngötu,Reykjavíkurborg,giljaskoli@akmennt.is,Reykjavíkurborg,www.landakotsskoli.is,Einkarekinn grunnskóli með þjónustusamning,,,,
Barnaskóli Hjallastefnunnar í Reykjavík,Skógarhlíð 6,Reykjavíkurborg,glerarskoli@akmennt.is,Reykjavíkurborg,www.hjalli.is,Einkarekinn grunnskóli með þjónustusamning,,,,
Skóli Ísaks Jónssonar,Bólstaðarhlíð 20,Reykjavíkurborg,hlidarskoli@akmennt.is,Reykjavíkurborg,www.isaksskoli.is,Einkarekinn grunnskóli með þjónustusamning,,,,
Tjarnarskóli,Lækjargata 14b,Reykjavíkurborg,thorunna@akmennt.is,Reykjavíkurborg,www.tjarnarskoli.is,Einkarekinn grunnskóli með þjónustusamning,,,,
Waldorfskólinn Sólstafir,Sóltúni 6,Reykjavíkurborg,lundarskoli@akmennt.is,Reykjavíkurborg,www.waldorf.is,Einkarekinn grunnskóli með þjónustusamning,,,,
Arnarskóli ,Kópavogsbraut 5B,Kópavogsbær,naustaskoli@akmennt.is,Kópavogsbær,,Arnarskóli sjálfseignastofnun - sjálfsstætt starfandi sérskóli á Íslandi,,,,
